x,y,z
589.30634132,23.43877792,1.22665989
587.54508889,23.43877792,1.15720904
587.54508889,22.48159981,1.15720904
585.73491278,22.48159981,1.08407843
585.73491278,21.57479858,1.08407843
583.97366038,21.57479858,0.99898964
583.97366038,20.61761856,0.99898964
582.21240774,20.61761856,0.92493927
582.21240774,19.61006355,0.92493927
580.50007930,19.61006355,0.84307003
580.50007930,18.65288353,0.84307003
578.73882690,18.65288353,0.76855969
578.73882690,17.74608231,0.76855969
577.12434497,17.74608231,0.69542927
577.12434497,16.94003677,0.69542927
575.60771099,16.94003677,0.63057774
575.60771099,16.23474884,0.63057774
574.23784843,16.23474884,0.56986564
574.23784843,15.52945805,0.56986564
573.06367984,15.52945805,0.51651263
573.06367984,14.97530174,0.51651263
571.98735920,14.97530174,0.46591920
571.98735920,14.42114639,0.46591920
571.05780998,14.42114639,0.42314479
571.05780998,13.96774578,0.42314479
580.20653692,13.51434517,0.27366430
580.64685026,13.51434517,0.27366430
580.64685026,13.56472301,0.27366430
580.69577375,13.56472301,0.27320439
580.69577375,13.61510086,0.27320439
582.26133171,13.61510086,0.27044469
582.26133171,13.61510086,0.27044469
584.31612602,13.61510086,0.26400557
586.32199696,13.61510086,0.26216578
586.32199696,13.71585655,0.26216578
586.32199696,13.76623440,0.26216578
588.32786778,13.76623440,0.25572661
590.23589125,13.76623440,0.25342694
590.23589125,13.76623440,0.25342694
592.24176183,13.76623440,0.24974741
592.24176183,13.81661224,0.24974741
592.24176183,13.86699009,0.24974741
594.24763265,13.86699009,0.24376819
594.24763265,13.91736794,0.24376819
596.35135093,13.91736794,0.24192843
596.35135093,13.96774578,0.24192843
598.30829826,13.96774578,0.23410945
598.30829826,13.96774578,0.23410945
600.31416908,13.96774578,0.23088986
600.31416908,14.01812363,0.23088986
602.27111641,14.01812363,0.22675042
602.27111641,14.06850147,0.22675042
604.37483421,14.06850147,0.22307090
604.37483421,14.11887932,0.22307090
606.33178154,14.11887932,0.22077121
606.33178154,14.16925716,0.22077121
